"no","id","context","sentence","intentionality","factivity","pictoriality","sense"
37,"CKT","W_pop_lore","  York:' This is the most difficult project for a museum that I can imagine. It is difficult and must remain that way because history has left us with",0.151097451873367,0.841942187806502,-0.322647382359662,"1-VIZUALIZE/PICTURE"
38,"H7A","W_fict_prose","  to fat, like Cary Grant almost. If you closed your eyes you could imagine them together on the promenade, arm-in-arm like they should be, the doctor with",0.971964521214306,-1.3942070918537,2.19575696729194,"1-VIZUALIZE/PICTURE"
39,"C9H","W_pop_lore","  flips straight to the cover interview with Slash. Crikey! It's hard to imagine a band further from the' are ya doin' awright?' approach than",0.151097451873367,-0.987634495551847,-0.0428246768428166,"1-VIZUALIZE/PICTURE"
40,"CH1","W_newsp_tabloid","  five daughters and two granddaughters, so it is pretty exciting, as you can imagine, suddenly to have a boy.' I've been used to playing dolls",0.151097451873367,1.65508738041021,-0.602470087876506,"2-THINK/BELIVE"
41,"HBT","W_advert","  for mathematics. This does not necessarily mean a mathematics degree, as many people imagine. Degrees in subjects such as natural sciences, economics or statistics are just as",-2.31150375614945,-0.581061899249992,-1.1621154989102,"4-FALSE_PERCEPTION"
42,"HGN","W_fict_prose","  . Who happens to be a young wife and mother of impeccable ultra-orthodox credentials. Imagine her delight when a lost soul returns, through her good offices, to the",0.356314219208602,0.841942187806502,0.143723793501746,"1-VIZUALIZE/PICTURE"
43,"B06","W_misc","  and as such, can easily be controlled by thought. Close your eyes and imagine that you are centred within a sphere of white light which also permeates your body",1.17718128854954,-1.3942070918537,2.19575696729194,"1-VIZUALIZE/PICTURE"
44,"KD0","S_conv","  ? (pause) If you see what I mean. (SP:PS0HP) Mm. (SP:PS0HM) I can actually imagine the feeling of going to a cot and then finding no (pause) no the child",0.561530986543836,-1.19092079370278,0.516820734190873,"1-VIZUALIZE/PICTURE"
45,"GVL","W_fict_prose","  to his suite at the Monogram and was just opening my sample case when, imagine my surprise...' A telephone jangled. MacLane scooped the receiver up and grunted",0.766747753879071,1.45180108225928,-0.602470087876506,"1-VIZUALIZE/PICTURE"
46,"JAE","S_interview","  look at it there's such a commitment by this company to (SP:PS444) I can imagine that. (SP:PS443) for the self-employed even the self-employed status (SP:PS444) Yes yes. (SP:PS443)",-0.874986384802806,0.841942187806502,-1.1621154989102,"2-THINK/BELIVE"
47,"ABJ","W_pop_lore","  convinced the market has its own fail-safe mechanisms for everything that it is hard to imagine them upholding a challenge to any merger. This is to miss the point.",0.356314219208602,-0.78434819740092,-0.882292793393351,"3-SUPPOSE/ASSUME"
48,"HGD","W_fict_prose","  I know.' Jenna nodded, her eyes on the field, trying to imagine it full of poppies and trying to keep her mind off Alain. It was",0.971964521214306,-1.3942070918537,2.19575696729194,"1-VIZUALIZE/PICTURE"
49,"HGK","W_fict_prose","  spat.' What are you after all but a journalist? I expect you imagine you'll be a countess soon?' Maggie was stunned, but not for",-2.10628698881421,-1.19092079370278,-1.1621154989102,"4-FALSE_PERCEPTION"
50,"HYD","S_tutorial","  seems to be er a very very deeply complicated er topic, so erm I imagine there are questions that you folks had. There were certainly questions that I had",-2.31150375614945,1.24851478410836,-1.1621154989102,"3-SUPPOSE/ASSUME"
51,"CES","W_biography","  I would have managed to get through without them, but it's hard to imagine how. On that morning I was giving them the latest news of Nigel.",0.151097451873367,-0.987634495551847,-0.78901855822107,"1-VIZUALIZE/PICTURE"
52,"AHJ","W_newsp_brdsht_nat_commerce","  column will have concluded I have the same hang-up about finding the perfect house. Imagine my excitement, therefore, when it seemed recently that I might have stumbled across",0.356314219208602,1.45180108225928,-0.602470087876506,"1-VIZUALIZE/PICTURE"
53,"AR8","W_non_ac_polit_law_edu","  foot out of the town and walk back to the rendezvous with Robin Gurdon. Imagine the scene: the Prime Minister's son, a Member of Parliament and the",1.17718128854954,0.841942187806502,1.44956308591369,"1-VIZUALIZE/PICTURE"
54,"C8T","W_fict_prose","  he would any other. But why the hell should he? I can't imagine that a woman who's actually had an abortion wants to go through that again",0.356314219208602,-0.987634495551847,-0.882292793393351,"2-THINK/BELIVE"
55,"AN8","W_fict_prose","  made. Since there are some fifty thousand genes in each chromosome, you can imagine the difficulty inherent in recognizing differences in such microscopic structures. I can not possibly",0.151097451873367,1.45180108225928,-0.882292793393351,"2-THINK/BELIVE"
56,"A7C","W_biography","  , happily ensconced in a coterie, would ask along their doctors? Can we imagine a GP being made to feel welcome in the Bloomsbury set? But one also",0.151097451873367,-0.78434819740092,-0.0428246768428166,"1-VIZUALIZE/PICTURE"
57,"CEP","W_newsp_other_sports","  as an accompaniment, are not confined to north London. It is difficult to imagine anything the shape of Stan Flashman as being the tip of an iceberg but that",0.561530986543836,-1.19092079370278,1.07646614522456,"1-VIZUALIZE/PICTURE"
58,"FS8","W_fict_prose","  . What's more, you know that I don't. I can't imagine what it is you want.' as if he were telling the story to",0.561530986543836,1.45180108225928,-1.1621154989102,"3-SUPPOSE/ASSUME"
59,"FU1","W_non_ac_soc_science","  maybe I wouldn't. It's hard to say. But I can't imagine being without her, so I don't really regret it. "" # SCHOOL",0.561530986543836,-0.987634495551847,-0.22937314718738,"1-VIZUALIZE/PICTURE"
60,"KPV","S_conv","  with (pause) as the-- there are in (pause) in Shakespeare. We can't really imagine ourselves (pause) you don't really have sympathy for any of the characters in the",0.561530986543836,-1.29256394277824,-0.0428246768428166,"1-VIZUALIZE/PICTURE"
62,"B7K","W_non_ac_nat_science","  wholesale replacement of large groups of animals by others. It would be hard to imagine an accumulation of competitive encounters between individuals that led to the extinction of a whole",0.151097451873367,-0.987634495551847,-0.602470087876506,"1-VIZUALIZE/PICTURE"
63,"HA5","W_fict_prose","  on your behalf, Grantham and Marsh will survive.'' You can't imagine how pleased that makes me feel, mus.' He raised his right hand",0.561530986543836,1.65508738041021,-1.1621154989102,"2-THINK/BELIVE"
64,"HAU","W_misc","  but my telephone call to the car rental company later that morning. You can imagine my reluctance to call as I didn't think that they would be too pleased",0.356314219208602,1.45180108225928,-0.882292793393351,"3-SUPPOSE/ASSUME"
65,"C9S","W_non_ac_soc_science","  a view to dispelling the myths that surround homosexuality. It is a mistake to imagine that resolutions passed at trade union conferences represent the most deeply held feelings of the",-2.10628698881421,-1.19092079370278,-1.1621154989102,"3-SUPPOSE/ASSUME"
66,"CEP","W_newsp_other_sports","  lines at Wembley. It was easy during a drab first hour at Ewood to imagine the likes of Roy Keane or Ian Durrant, not to mention Gazza, making",0.356314219208602,-1.19092079370278,1.63611155625825,"1-VIZUALIZE/PICTURE"
67,"K4W","W_newsp_other_report","  Labour's Peter Mandelson dismissed the remarks and added:' It is impossible to imagine a housing market more depressed than it is under the present Tory government. #",0.561530986543836,-1.19092079370278,0.33027226384631,"1-VIZUALIZE/PICTURE"
